timestamp,distance_cm
25,99.37
50,99.26
75,99.26
100,99.38
125,99.28
150,99.25
175,99.37
200,99.26
225,99.28
250,99.38
275,99.26
300,99.26
325,99.37
350,99.25
375,99.28
400,99.38
425,99.26
450,99.26
475,99.37
500,99.26
525,99.28
550,99.38
575,99.26
600,99.26
625,56.73
650,56.3
675,58.7
700,60.88
725,56.32
750,68.51
775,29.02
800,30.17
825,29.81
850,28.73
875,26.5
900,26.69
925,27.68
950,27.58
975,26.5
1000,26.1
1025,26.79
1050,24.94
1075,24.16
1100,26.69
1125,23.77
1150,23.0
1175,22.71
1200,24.06
1225,23.89
1250,21.78
1275,24.06
1300,22.71
1325,23.0
1350,21.13
1375,22.31
1400,21.45
1425,21.45
1450,21.45
1475,22.31
1500,22.42
1525,25.04
1550,22.09
1575,22.9
1600,21.78
1625,22.71
1650,22.6
1675,22.31
1700,22.42
1725,24.16
1750,22.0
1775,22.11
1800,21.78
1825,22.71
1850,22.31
1875,22.11
1900,23.6
1925,23.29
1950,22.91
1975,22.71
2000,23.0
2025,24.06
2050,24.47
2075,24.47
2100,24.35
2125,25.33
2150,26.69
2175,26.79
2200,29.02
2225,27.39
2250,27.85
2275,28.43
2300,29.12
2325,29.55
2350,30.06
2375,31.21
2400,31.64
2425,32.16
2450,32.69
2475,32.69
2500,33.2
2525,33.82
2550,33.72
2575,35.04
2600,35.04
2625,35.04
2650,35.81
2675,35.83
2700,36.91
2725,36.41
2750,36.51
2775,38.59
2800,37.68
2825,38.12
2850,38.12
2875,40.58
2900,39.07
2925,39.98
2950,40.92
2975,41.04
3000,42.07
3025,42.29
3050,43.27
3075,43.97
3100,44.49
3125,45.19
3150,45.69
3175,46.7
3200,47.8
3225,46.89
3250,47.88
3275,48.91
3300,49.58
3325,49.48
3350,49.98
3375,50.85
3400,50.85
3425,51.71
3450,52.56
3475,53.42
3500,53.41
3525,54.28
3550,54.61
3575,55.48
3600,55.82
3625,55.65
3650,56.2
3675,56.44
3700,56.17
3725,56.3
3750,56.3
3775,56.2
3800,56.17
3825,55.99
3850,56.17
3875,56.01
3900,56.06
3925,55.99
3950,55.65
3975,55.33
4000,54.95
4025,54.62
4050,54.28
4075,53.59
4100,53.17
4125,52.56
4150,52.75
4175,52.39
4200,51.54
4225,51.55
4250,51.02
4275,51.02
4300,50.16
4325,49.82
4350,49.48
4375,49.75
4400,48.91
4425,48.72
4450,47.49
4475,48.6
4500,47.69
4525,47.3
4550,46.6
4575,45.67
4600,44.86
4625,44.59
4650,44.08
4675,45.17
4700,43.25
4725,43.36
4750,43.66
4775,42.75
4800,42.31
4825,42.19
4850,41.14
4875,40.9
4900,40.11
4925,39.98
4950,39.75
4975,39.05
5000,39.87
5025,38.36
5050,38.83
5075,37.2
5100,37.66
5125,36.96
5150,37.34
5175,36.27
5200,36.05
5225,35.83
5250,37.22
5275,36.05
5300,35.81
5325,35.04
5350,34.25
5375,33.46
5400,33.99
5425,33.31
5450,32.95
5475,32.16
5500,31.9
5525,31.64
5550,31.37
5575,31.11
5600,30.85
5625,30.6
5650,31.21
5675,30.34
5700,30.06
5725,29.28
5750,29.89
5775,29.02
5800,28.83
5825,29.81
5850,29.02
5875,27.95
5900,27.56
5925,27.37
5950,27.85
5975,29.28
6000,29.12
6025,29.02
6050,28.73
6075,25.04
6100,24.75
6125,25.23
6150,25.04
6175,23.77
6200,23.58
6225,23.87
6250,23.48
6275,23.29
6300,23.02
6325,22.71
6350,22.31
6375,22.11
6400,22.71
6425,22.09
6450,22.6
6475,21.13
6500,20.8
6525,20.49
6550,20.17
6575,20.07
6600,19.74
6625,18.56
6650,19.52
6675,18.25
6700,17.92
6725,17.6
6750,17.27
6775,16.64
6800,17.27
6825,16.64
6850,17.05
6875,16.31
6900,16.96
6925,15.98
6950,15.68
6975,15.98
7000,16.62
7025,15.98
7050,15.31
7075,16.96
7100,15.07
7125,15.31
7150,14.61
7175,14.97
7200,14.29
7225,14.63
7250,14.05
7275,14.29
7300,13.6
7325,14.27
7350,13.36
7375,12.57
7400,13.26
7425,12.23
7450,12.55
7475,12.91
7500,12.91
7525,11.99
7550,12.23
7575,12.57
7600,11.64
7625,11.54
7650,11.88
7675,11.97
7700,12.23
7725,12.23
7750,12.33
7775,12.57
7800,12.57
7825,12.33
7850,11.88
7875,11.54
7900,12.33
7925,13.94
7950,13.94
7975,13.6
8000,15.76
8025,15.31
8050,16.64
8075,18.88
8100,20.49
8125,21.66
8150,23.29
8175,25.33
8200,26.98
8225,29.81
8250,32.0
8275,35.04
8300,38.04
8325,39.07
8350,42.75
8375,44.68
8400,48.81
8425,50.34
8450,56.06
8475,56.46
8500,60.42
8525,59.3
8550,59.13
8575,59.85
8600,61.17
8625,63.39
8650,63.99
8675,63.99
8700,64.95
8725,66.4
8750,65.84
8775,64.55
8800,67.21
8825,64.57
8850,65.68
8875,64.23
8900,66.11
8925,65.41
8950,65.55
8975,63.95
9000,62.72
9025,61.98
9050,62.85
9075,62.01
9100,60.83
9125,61.28
9150,60.73
9175,59.84
9200,59.32
9225,58.0
9250,59.7
9275,58.19
9300,63.54
9325,56.34
9350,128.61
9375,56.3
9400,56.44
9425,56.34
9450,52.56
9475,56.59
9500,50.16
9525,49.58
9550,46.89
9575,46.08
9600,45.77
9625,43.48
9650,43.56
9675,41.26
9700,40.46
9725,40.46
9750,38.83
9775,37.9
9800,36.63
9825,36.75
9850,36.05
9875,35.81
9900,34.25
9925,33.99
9950,33.05
9975,33.2
10000,32.16
10025,31.62
10050,31.11
10075,30.7
10100,30.58
10125,29.28
10150,29.91
10175,29.53
10200,29.02
10225,29.91
10250,29.81
10275,29.53
10300,29.81
10325,29.81
10350,30.32
10375,30.58
10400,32.26
10425,32.41
10450,33.73
10475,33.73
10500,35.02
10525,35.57
10550,36.51
10575,38.83
10600,38.04
10625,39.05
10650,39.99
10675,41.61
10700,41.97
10725,42.96
10750,43.66
10775,44.18
10800,44.86
10825,46.6
10850,46.29
10875,47.88
10900,48.21
10925,48.71
10950,49.31
10975,49.48
11000,49.99
11025,51.02
11050,52.05
11075,52.98
11100,53.77
11125,54.79
11150,55.82
11175,55.99
11200,57.16
11225,57.2
11250,60.15
11275,60.69
11300,59.73
11325,61.26
11350,60.59
11375,60.83
11400,64.26
11425,63.66
11450,66.39
11475,66.39
11500,61.45
11525,62.1
11550,59.85
11575,58.46
11600,56.44
11625,53.42
11650,49.82
11675,50.68
11700,45.19
11725,47.51
11750,36.05
11775,33.2
11800,29.29
11825,27.08
11850,23.58
11875,21.35
11900,19.19
11925,15.98
11950,15.07
11975,14.61
12000,12.55
12025,12.23
12050,13.02
12075,12.57
12100,12.23
12125,11.99
12150,12.91
12175,12.23
12200,13.02
12225,12.21
12250,12.91
12275,13.6
12300,14.39
12325,13.6
12350,14.61
12375,15.31
12400,14.63
12425,15.66
12450,15.3
12475,15.98
12500,16.94
12525,15.31
12550,15.98
12575,16.31
12600,17.27
12625,17.6
12650,16.94
12675,20.82
12700,22.09
12725,24.16
12750,29.02
12775,28.74
12800,31.11
12825,31.64
12850,32.43
12875,33.2
12900,32.67
12925,32.67
12950,32.16
12975,31.74
13000,31.37
13025,31.38
13050,31.88
13075,31.21
13100,31.62
13125,31.62
13150,31.64
13175,31.11
13200,32.0
13225,31.9
13250,31.9
13275,32.41
13300,32.16
13325,32.0
13350,32.41
13375,31.62
13400,31.64
13425,31.62
13450,32.26
13475,32.41
13500,32.95
13525,34.76
13550,35.81
13575,37.44
13600,39.65
13625,43.17
13650,45.88
13675,47.2
13700,48.71
13725,49.48
13750,50.34
13775,50.16
13800,50.95
13825,50.68
13850,50.51
13875,50.16
13900,50.16
13925,50.34
13950,50.34
13975,50.78
14000,50.51
14025,50.68
14050,50.34
14075,50.51
14100,51.02
14125,50.68
14150,50.85
14175,50.61
14200,50.51
14225,50.51
14250,50.51
14275,51.04
14300,50.7
14325,50.85
14350,51.54
14375,51.38
14400,51.36
14425,52.22
14450,52.98
14475,54.11
14500,56.3
14525,62.25
14550,64.42
14575,64.84
14600,66.22
14625,66.83
14650,67.67
14675,68.38
14700,68.53
14725,68.94
14750,69.73
14775,73.44
14800,72.72
14825,69.75
14850,70.19
14875,69.37
14900,70.19
14925,69.75
14950,69.83
14975,70.19
15000,70.19
15025,69.73
15050,70.02
15075,69.94
15100,70.19
15125,69.51
15150,69.23
15175,68.53
15200,68.67
15225,69.66
15250,68.93
15275,66.83
15300,66.95
15325,66.56
15350,67.13
15375,67.38
15400,65.92
15425,65.41
15450,65.55
15475,66.54
15500,67.21
15525,65.41
15550,63.71
15575,63.39
15600,62.87
15625,64.96
15650,65.08
15675,61.16
15700,61.26
15725,59.75
15750,59.41
15775,58.86
15800,57.92
15825,57.57
15850,56.73
15875,56.3
15900,56.2
15925,56.32
15950,55.48
15975,55.48
16000,54.3
16025,54.28
16050,53.08
16075,53.08
16100,52.74
16125,52.39
16150,51.71
16175,51.38
16200,50.68
16225,50.85
16250,50.34
16275,50.18
16300,50.61
16325,50.51
16350,50.16
16375,50.7
16400,50.85
16425,50.68
16450,51.36
16475,51.19
16500,51.54
16525,52.22
16550,52.56
16575,52.91
16600,53.78
16625,54.13
16650,54.11
16675,54.97
16700,55.31
16725,56.17
16750,56.17
16775,56.49
16800,56.58
16825,57.44
16850,58.86
16875,58.76
16900,59.42
16925,60.73
16950,60.83
16975,62.58
17000,62.27
17025,62.58
17050,63.09
17075,64.28
17100,65.12
17125,66.51
17150,67.67
17175,68.51
17200,68.93
17225,68.5
17250,69.35
17275,69.73
17300,67.09
17325,67.11
17350,67.91
17375,68.65
17400,69.9
17425,69.37
17450,69.75
17475,69.65
17500,69.92
17525,69.73
17550,69.75
17575,69.75
17600,69.75
17625,70.56
17650,70.73
17675,70.02
17700,69.75
17725,70.09
17750,69.75
17775,68.39
17800,68.24
17825,70.74
17850,69.65
17875,69.83
17900,65.84
17925,69.75
17950,67.35
17975,64.42
18000,62.43
18025,61.96
18050,60.73
18075,60.68
18100,59.56
18125,58.33
18150,57.73
18175,57.02
18200,56.87
18225,56.06
18250,55.48
18275,54.45
18300,53.41
18325,52.38
18350,51.88
18375,50.85
18400,50.34
18425,50.27
18450,49.12
18475,48.52
18500,47.9
18525,47.4
18550,47.69
18575,46.68
18600,45.79
18625,45.09
18650,45.88
18675,44.95
18700,43.87
18725,43.37
18750,42.31
18775,43.06
18800,41.61
18825,40.58
18850,40.37
18875,39.53
18900,39.29
18925,39.41
18950,37.58
18975,37.44
19000,36.51
19025,35.81
19050,36.51
19075,35.04
19100,34.51
19125,34.25
19150,33.2
19175,32.95
19200,32.0
19225,31.64
19250,30.08
19275,30.32
19300,29.38
19325,29.02
19350,29.12
19375,27.56
19400,26.98
19425,27.08
19450,29.28
19475,25.93
19500,26.39
19525,29.12
19550,25.81
19575,24.75
19600,24.95
19625,24.46
19650,23.87
19675,23.77
19700,28.25
19725,24.35
19750,24.16
19775,24.75
19800,24.95
19825,27.1
19850,27.27
19875,25.93
19900,26.1
19925,26.21
19950,26.98
19975,27.95
20000,27.85
20025,28.54
20050,29.81
20075,29.02
20100,30.06
20125,31.11
20150,30.85
20175,31.9
20200,32.95
20225,32.67
20250,33.73
20275,33.99
20300,35.04
20325,36.05
20350,35.83
20375,36.05
20400,38.74
20425,39.05
20450,39.29
20475,39.98
20500,40.58
20525,41.38
20550,41.61
20575,42.21
20600,43.58
20625,43.68
20650,43.97
20675,44.49
20700,45.79
20725,45.89
20750,46.49
20775,47.2
20800,47.71
20825,49.1
20850,49.12
20875,49.58
20900,49.48
20925,49.82
20950,51.02
20975,51.35
21000,51.71
21025,51.88
21050,51.71
21075,52.22
21100,52.75
21125,52.75
21150,53.08
21175,52.56
21200,52.92
21225,52.22
21250,52.39
21275,51.72
21300,51.04
21325,50.68
21350,50.68
21375,49.48
21400,49.82
21425,48.91
21450,48.0
21475,47.3
21500,46.68
21525,45.79
21550,45.09
21575,44.57
21600,43.87
21625,43.37
21650,42.67
21675,43.58
21700,43.25
21725,40.92
21750,40.22
21775,39.53
21800,38.72
21825,38.12
21850,37.44
21875,36.75
21900,36.51
21925,35.81
21950,35.57
21975,34.52
22000,34.25
22025,33.2
22050,32.69
22075,32.41
22100,31.37
22125,30.32
22150,30.06
22175,29.12
22200,29.81
22225,28.74
22250,29.12
22275,29.02
22300,27.68
22325,26.1
22350,28.14
22375,24.75
22400,25.62
22425,24.94
22450,23.29
22475,23.29
22500,23.2
22525,22.42
22550,22.42
22575,21.13
22600,21.03
22625,20.82
22650,20.82
22675,20.49
22700,19.21
22725,18.88
22750,18.56
22775,18.23
22800,17.9
22825,17.6
22850,17.27
22875,16.96
22900,16.64
22925,16.31
22950,15.98
22975,16.94
23000,15.66
23025,15.31
23050,16.41
23075,15.98
23100,14.29
23125,13.94
23150,13.6
23175,14.63
23200,14.29
23225,13.94
23250,13.26
23275,12.9
23300,12.33
23325,11.88
23350,11.3
23375,12.23
23400,11.54
23425,10.96
23450,10.17
23475,10.86
23500,10.27
23525,9.48
23550,8.9
23575,10.86
23600,9.93
23625,10.51
23650,9.57
23675,8.44
23700,9.23
23725,9.48
23750,8.44
23775,7.89
23800,7.13
23825,8.54
23850,7.89
23875,8.09
23900,8.54
23925,9.12
23950,6.91
23975,8.21
24000,7.13
24025,7.24
24050,7.24
24075,6.14
24100,6.26
24125,7.56
